Highway1,Counties,Traffic Count Locations,Day of 2019Date,Day of 2020Date,Measure Names,Weekday of Day,Measure Values,2019 Volume
I-90,Spokane,I-90 at Sprague,Mon. 06/03/19,Mon. 06/01/20,2020 Volumes,Monday,94963,77788
I-90,Spokane,I-90 at Pines Road (SR 27),Mon. 06/03/19,Mon. 06/01/20,2020 Volumes,Monday,85654,98370
I-90,Spokane,I-90 at US 2 West,Mon. 06/03/19,Mon. 06/01/20,2019 Volumes,Monday,32870,32870
I-90,Spokane,I-90 at Sprague,Mon. 06/03/19,Mon. 06/01/20,2019 Volumes,Monday,77788,77788
I-90,Spokane,I-90 at Pines Road (SR 27),Mon. 06/03/19,Mon. 06/01/20,2019 Volumes,Monday,98370,98370
I-90,Spokane,I-90 at US 2 West,Tue. 06/04/19,Tue. 06/02/20,2020 Volumes,Tuesday,44406,32078
I-90,Spokane,I-90 at Sprague,Tue. 06/04/19,Tue. 06/02/20,2020 Volumes,Tuesday,97117,79427
I-90,Spokane,I-90 at Pines Road (SR 27),Tue. 06/04/19,Tue. 06/02/20,2020 Volumes,Tuesday,87807,100516
I-90,Spokane,I-90 at US 2 West,Tue. 06/04/19,Tue. 06/02/20,2019 Volumes,Tuesday,32078,32078
I-90,Spokane,I-90 at Sprague,Tue. 06/04/19,Tue. 06/02/20,2019 Volumes,Tuesday,79427,79427
I-90,Spokane,I-90 at Pines Road (SR 27),Tue. 06/04/19,Tue. 06/02/20,2019 Volumes,Tuesday,100516,100516
US 195,Spokane,US 195 at 16th Ave,Sun. 03/03/19,Sun. 03/01/20,2020 Volumes,Sunday,16797,15875
US 195,Spokane,US 195 at 16th Ave,Sun. 03/03/19,Sun. 03/01/20,2019 Volumes,Sunday,15875,15875
US 195,Spokane,US 195 at 16th Ave,Mon. 03/04/19,Mon. 03/02/20,2020 Volumes,Monday,20679,20910
US 195,Spokane,US 195 at 16th Ave,Mon. 03/04/19,Mon. 03/02/20,2019 Volumes,Monday,20910,20910
US 195,Spokane,US 195 at 16th Ave,Tue. 03/05/19,Tue. 03/03/20,2020 Volumes,Tuesday,21825,21847
US 195,Spokane,US 195 at 16th Ave,Tue. 03/05/19,Tue. 03/03/20,2019 Volumes,Tuesday,21847,21847
US 195,Spokane,US 195 at 16th Ave,Wed. 03/06/19,Wed. 03/04/20,2020 Volumes,Wednesday,22170,21306
US 195,Spokane,US 195 at 16th Ave,Wed. 03/06/19,Wed. 03/04/20,2019 Volumes,Wednesday,21306,21306
US 195,Spokane,US 195 at 16th Ave,Thu. 03/07/19,Thu. 03/05/20,2020 Volumes,Thursday,22454,22064
US 195,Spokane,US 195 at 16th Ave,Thu. 03/07/19,Thu. 03/05/20,2019 Volumes,Thursday,22064,22064
US 195,Spokane,US 195 at 16th Ave,Fri. 03/08/19,Fri. 03/06/20,2020 Volumes,Friday,23945,24147
US 195,Spokane,US 195 at 16th Ave,Fri. 03/08/19,Fri. 03/06/20,2019 Volumes,Friday,24147,24147
US 195,Spokane,US 195 at 16th Ave,Sat. 03/09/19,Sat. 03/07/20,2020 Volumes,Saturday,18951,18980
US 195,Spokane,US 195 at 16th Ave,Sat. 03/09/19,Sat. 03/07/20,2019 Volumes,Saturday,18980,18980
US 195,Spokane,US 195 at 16th Ave,Sun. 03/10/19,Sun. 03/08/20,2020 Volumes,Sunday,16162,15797
US 195,Spokane,US 195 at 16th Ave,Sun. 03/10/19,Sun. 03/08/20,2019 Volumes,Sunday,15797,15797
US 195,Spokane,US 195 at 16th Ave,Mon. 03/11/19,Mon. 03/09/20,2020 Volumes,Monday,21045,21443
US 195,Spokane,US 195 at 16th Ave,Mon. 03/11/19,Mon. 03/09/20,2019 Volumes,Monday,21443,21443
US 195,Spokane,US 195 at 16th Ave,Tue. 03/12/19,Tue. 03/10/20,2020 Volumes,Tuesday,21339,18525
US 195,Spokane,US 195 at 16th Ave,Tue. 03/12/19,Tue. 03/10/20,2019 Volumes,Tuesday,18525,18525
US 195,Spokane,US 195 at 16th Ave,Wed. 03/13/19,Wed. 03/11/20,2020 Volumes,Wednesday,21797,20891
US 195,Spokane,US 195 at 16th Ave,Wed. 03/13/19,Wed. 03/11/20,2019 Volumes,Wednesday,20891,20891
US 195,Spokane,US 195 at 16th Ave,Thu. 03/14/19,Thu. 03/12/20,2020 Volumes,Thursday,22147,22583
US 195,Spokane,US 195 at 16th Ave,Thu. 03/14/19,Thu. 03/12/20,2019 Volumes,Thursday,22583,22583
US 195,Spokane,US 195 at 16th Ave,Fri. 03/15/19,Fri. 03/13/20,2020 Volumes,Friday,22019,24506
US 195,Spokane,US 195 at 16th Ave,Fri. 03/15/19,Fri. 03/13/20,2019 Volumes,Friday,24506,24506
US 195,Spokane,US 195 at 16th Ave,Sat. 03/16/19,Sat. 03/14/20,2020 Volumes,Saturday,11645,20058
US 195,Spokane,US 195 at 16th Ave,Sat. 03/16/19,Sat. 03/14/20,2019 Volumes,Saturday,20058,20058
US 195,Spokane,US 195 at 16th Ave,Sun. 03/17/19,Sun. 03/15/20,2020 Volumes,Sunday,11994,17462
