Day of Date 2020,Transit Agency,Avg. PercentNorm%,Sum of Agency Order ID
"Tue, 05/12/20",Kitsap Transit (Excludes Fast Foot Ferry),-73%,7
"Mon, 05/11/20",Kitsap Transit (Excludes Fast Foot Ferry),-71%,7
"Sun, 05/10/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 05/09/20",Kitsap Transit (Excludes Fast Foot Ferry),-51%,7
"Fri, 05/08/20",Kitsap Transit (Excludes Fast Foot Ferry),-70%,7
"Thu, 05/07/20",Kitsap Transit (Excludes Fast Foot Ferry),-74%,7
"Wed, 05/06/20",Kitsap Transit (Excludes Fast Foot Ferry),-73%,7
"Tue, 05/05/20",Kitsap Transit (Excludes Fast Foot Ferry),-73%,7
"Mon, 05/04/20",Kitsap Transit (Excludes Fast Foot Ferry),-72%,7
"Sun, 05/03/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 05/02/20",Kitsap Transit (Excludes Fast Foot Ferry),-67%,7
"Fri, 05/01/20",Kitsap Transit (Excludes Fast Foot Ferry),-70%,7
"Thu, 04/30/20",Kitsap Transit (Excludes Fast Foot Ferry),-73%,7
"Wed, 04/29/20",Kitsap Transit (Excludes Fast Foot Ferry),-71%,7
"Tue, 04/28/20",Kitsap Transit (Excludes Fast Foot Ferry),-75%,7
"Mon, 04/27/20",Kitsap Transit (Excludes Fast Foot Ferry),-74%,7
"Sun, 04/26/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 04/25/20",Kitsap Transit (Excludes Fast Foot Ferry),-58%,7
"Fri, 04/24/20",Kitsap Transit (Excludes Fast Foot Ferry),-74%,7
"Thu, 04/23/20",Kitsap Transit (Excludes Fast Foot Ferry),-76%,7
"Wed, 04/22/20",Kitsap Transit (Excludes Fast Foot Ferry),-77%,7
"Tue, 04/21/20",Kitsap Transit (Excludes Fast Foot Ferry),-76%,7
"Mon, 04/20/20",Kitsap Transit (Excludes Fast Foot Ferry),-73%,7
"Sun, 04/19/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 04/18/20",Kitsap Transit (Excludes Fast Foot Ferry),-57%,7
"Fri, 04/17/20",Kitsap Transit (Excludes Fast Foot Ferry),-72%,7
"Thu, 04/16/20",Kitsap Transit (Excludes Fast Foot Ferry),-74%,7
"Wed, 04/15/20",Kitsap Transit (Excludes Fast Foot Ferry),-76%,7
"Tue, 04/14/20",Kitsap Transit (Excludes Fast Foot Ferry),-79%,7
"Mon, 04/13/20",Kitsap Transit (Excludes Fast Foot Ferry),-81%,7
"Sun, 04/12/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 04/11/20",Kitsap Transit (Excludes Fast Foot Ferry),-65%,7
"Fri, 04/10/20",Kitsap Transit (Excludes Fast Foot Ferry),-84%,7
"Thu, 04/09/20",Kitsap Transit (Excludes Fast Foot Ferry),-84%,7
"Wed, 04/08/20",Kitsap Transit (Excludes Fast Foot Ferry),-85%,7
"Tue, 04/07/20",Kitsap Transit (Excludes Fast Foot Ferry),-86%,7
"Mon, 04/06/20",Kitsap Transit (Excludes Fast Foot Ferry),-84%,7
"Sun, 04/05/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 04/04/20",Kitsap Transit (Excludes Fast Foot Ferry),-65%,7
"Fri, 04/03/20",Kitsap Transit (Excludes Fast Foot Ferry),-83%,7
"Thu, 04/02/20",Kitsap Transit (Excludes Fast Foot Ferry),-85%,7
"Wed, 04/01/20",Kitsap Transit (Excludes Fast Foot Ferry),-80%,7
"Tue, 03/31/20",Kitsap Transit (Excludes Fast Foot Ferry),-84%,7
"Mon, 03/30/20",Kitsap Transit (Excludes Fast Foot Ferry),-81%,7
"Sun, 03/29/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 03/28/20",Kitsap Transit (Excludes Fast Foot Ferry),-83%,7
"Fri, 03/27/20",Kitsap Transit (Excludes Fast Foot Ferry),-89%,7
"Thu, 03/26/20",Kitsap Transit (Excludes Fast Foot Ferry),-84%,7
"Wed, 03/25/20",Kitsap Transit (Excludes Fast Foot Ferry),-83%,7
"Tue, 03/24/20",Kitsap Transit (Excludes Fast Foot Ferry),-83%,7
"Mon, 03/23/20",Kitsap Transit (Excludes Fast Foot Ferry),-80%,7
"Sun, 03/22/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 03/21/20",Kitsap Transit (Excludes Fast Foot Ferry),-55%,7
"Fri, 03/20/20",Kitsap Transit (Excludes Fast Foot Ferry),-60%,7
"Thu, 03/19/20",Kitsap Transit (Excludes Fast Foot Ferry),-59%,7
"Wed, 03/18/20",Kitsap Transit (Excludes Fast Foot Ferry),-49%,7
"Tue, 03/17/20",Kitsap Transit (Excludes Fast Foot Ferry),-41%,7
"Mon, 03/16/20",Kitsap Transit (Excludes Fast Foot Ferry),-33%,7
"Sun, 03/15/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 03/14/20",Kitsap Transit (Excludes Fast Foot Ferry),-23%,7
"Fri, 03/13/20",Kitsap Transit (Excludes Fast Foot Ferry),-22%,7
"Thu, 03/12/20",Kitsap Transit (Excludes Fast Foot Ferry),-17%,7
"Wed, 03/11/20",Kitsap Transit (Excludes Fast Foot Ferry),-13%,7
"Tue, 03/10/20",Kitsap Transit (Excludes Fast Foot Ferry),-16%,7
"Mon, 03/09/20",Kitsap Transit (Excludes Fast Foot Ferry),-10%,7
"Sun, 03/08/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 03/07/20",Kitsap Transit (Excludes Fast Foot Ferry),6%,7
"Fri, 03/06/20",Kitsap Transit (Excludes Fast Foot Ferry),-9%,7
"Thu, 03/05/20",Kitsap Transit (Excludes Fast Foot Ferry),6%,7
"Wed, 03/04/20",Kitsap Transit (Excludes Fast Foot Ferry),0%,7
"Tue, 03/03/20",Kitsap Transit (Excludes Fast Foot Ferry),1%,7
"Mon, 03/02/20",Kitsap Transit (Excludes Fast Foot Ferry),4%,7
"Sun, 03/01/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Wed, 06/03/20",C-TRAN,-47%,6
"Tue, 06/02/20",C-TRAN,-52%,6
"Mon, 06/01/20",C-TRAN,-50%,6
"Sun, 05/31/20",C-TRAN,-35%,6
"Sat, 05/30/20",C-TRAN,-50%,6
"Fri, 05/29/20",C-TRAN,-52%,6
"Thu, 05/28/20",C-TRAN,-51%,6
"Wed, 05/27/20",C-TRAN,-52%,6
"Tue, 05/26/20",C-TRAN,-52%,6
"Mon, 05/25/20",C-TRAN,-33%,6
"Sun, 05/24/20",C-TRAN,-38%,6
"Sat, 05/23/20",C-TRAN,-35%,6
"Fri, 05/22/20",C-TRAN,-51%,6
"Thu, 05/21/20",C-TRAN,-56%,6
"Wed, 05/20/20",C-TRAN,-54%,6
"Tue, 05/19/20",C-TRAN,-54%,6
"Mon, 05/18/20",C-TRAN,-58%,6
"Sun, 05/17/20",C-TRAN,-37%,6
"Sat, 05/16/20",C-TRAN,-43%,6
"Fri, 05/15/20",C-TRAN,-53%,6
"Thu, 05/14/20",C-TRAN,-53%,6
"Wed, 05/13/20",C-TRAN,-55%,6
"Tue, 05/12/20",C-TRAN,-54%,6
"Mon, 05/11/20",C-TRAN,-59%,6
"Sun, 05/10/20",C-TRAN,-36%,6
"Sat, 05/09/20",C-TRAN,-38%,6
"Fri, 05/08/20",C-TRAN,-54%,6
"Thu, 05/07/20",C-TRAN,-57%,6
"Wed, 05/06/20",C-TRAN,-58%,6
"Tue, 05/05/20",C-TRAN,-54%,6
"Mon, 05/04/20",C-TRAN,-54%,6
"Sun, 05/03/20",C-TRAN,-37%,6
"Sat, 05/02/20",C-TRAN,-50%,6
"Fri, 05/01/20",C-TRAN,-53%,6
"Thu, 04/30/20",C-TRAN,-55%,6
"Wed, 04/29/20",C-TRAN,-58%,6
"Tue, 04/28/20",C-TRAN,-54%,6
"Mon, 04/27/20",C-TRAN,-57%,6
"Sun, 04/26/20",C-TRAN,-40%,6
"Sat, 04/25/20",C-TRAN,-45%,6
"Fri, 04/24/20",C-TRAN,-58%,6
"Thu, 04/23/20",C-TRAN,-58%,6
"Wed, 04/22/20",C-TRAN,-60%,6
"Tue, 04/21/20",C-TRAN,-57%,6
"Mon, 04/20/20",C-TRAN,-56%,6
"Sun, 04/19/20",C-TRAN,-29%,6
"Sat, 04/18/20",C-TRAN,-51%,6
"Fri, 04/17/20",C-TRAN,-53%,6
"Thu, 04/16/20",C-TRAN,-58%,6
"Wed, 04/15/20",C-TRAN,-56%,6
"Tue, 04/14/20",C-TRAN,-56%,6
"Mon, 04/13/20",C-TRAN,-55%,6
"Sun, 04/12/20",C-TRAN,-41%,6
"Sat, 04/11/20",C-TRAN,-40%,6
"Fri, 04/10/20",C-TRAN,-56%,6
"Thu, 04/09/20",C-TRAN,-55%,6
"Wed, 04/08/20",C-TRAN,-54%,6
"Tue, 04/07/20",C-TRAN,-56%,6
"Mon, 04/06/20",C-TRAN,-57%,6
"Sun, 04/05/20",C-TRAN,-29%,6
"Sat, 04/04/20",C-TRAN,-40%,6
"Fri, 04/03/20",C-TRAN,-45%,6
"Thu, 04/02/20",C-TRAN,-53%,6
"Wed, 04/01/20",C-TRAN,-51%,6
"Tue, 03/31/20",C-TRAN,-52%,6
"Mon, 03/30/20",C-TRAN,-56%,6
"Sun, 03/29/20",C-TRAN,-45%,6
"Sat, 03/28/20",C-TRAN,-47%,6
"Fri, 03/27/20",C-TRAN,-55%,6
"Thu, 03/26/20",C-TRAN,-56%,6
"Wed, 03/25/20",C-TRAN,-56%,6
"Tue, 03/24/20",C-TRAN,-59%,6
"Mon, 03/23/20",C-TRAN,-52%,6
"Sun, 03/22/20",C-TRAN,-40%,6
"Sat, 03/21/20",C-TRAN,-38%,6
"Fri, 03/20/20",C-TRAN,-46%,6
"Thu, 03/19/20",C-TRAN,-44%,6
"Wed, 03/18/20",C-TRAN,-44%,6
"Tue, 03/17/20",C-TRAN,-39%,6
"Mon, 03/16/20",C-TRAN,-34%,6
"Sun, 03/15/20",C-TRAN,-22%,6
"Sat, 03/14/20",C-TRAN,-37%,6
"Fri, 03/13/20",C-TRAN,-21%,6
"Thu, 03/12/20",C-TRAN,-7%,6
"Wed, 03/11/20",C-TRAN,-3%,6
"Tue, 03/10/20",C-TRAN,0%,6
"Mon, 03/09/20",C-TRAN,-2%,6
"Sun, 03/08/20",C-TRAN,3%,6
"Sat, 03/07/20",C-TRAN,-8%,6
"Fri, 03/06/20",C-TRAN,-3%,6
"Thu, 03/05/20",C-TRAN,3%,6
"Wed, 03/04/20",C-TRAN,10%,6
"Tue, 03/03/20",C-TRAN,5%,6
"Mon, 03/02/20",C-TRAN,-4%,6
"Sun, 03/01/20",C-TRAN,5%,6
"Wed, 06/03/20",Spokane Transit,-54%,5
"Tue, 06/02/20",Spokane Transit,-57%,5
"Mon, 06/01/20",Spokane Transit,-58%,5
"Sun, 05/31/20",Spokane Transit,-45%,5
"Sat, 05/30/20",Spokane Transit,-41%,5
"Fri, 05/29/20",Spokane Transit,-56%,5
"Thu, 05/28/20",Spokane Transit,-55%,5
"Wed, 05/27/20",Spokane Transit,-57%,5
"Tue, 05/26/20",Spokane Transit,-58%,5
"Mon, 05/25/20",Spokane Transit,-26%,5
"Sun, 05/24/20",Spokane Transit,-23%,5
"Sat, 05/23/20",Spokane Transit,-32%,5
"Fri, 05/22/20",Spokane Transit,-54%,5
"Thu, 05/21/20",Spokane Transit,-61%,5
"Wed, 05/20/20",Spokane Transit,-66%,5
"Tue, 05/19/20",Spokane Transit,-61%,5
"Mon, 05/18/20",Spokane Transit,-61%,5
"Sun, 05/17/20",Spokane Transit,-37%,5
"Sat, 05/16/20",Spokane Transit,-36%,5
"Fri, 05/15/20",Spokane Transit,-52%,5
"Thu, 05/14/20",Spokane Transit,-59%,5
"Wed, 05/13/20",Spokane Transit,-61%,5
"Tue, 05/12/20",Spokane Transit,-64%,5
"Mon, 05/11/20",Spokane Transit,-61%,5
"Sun, 05/10/20",Spokane Transit,-37%,5
"Sat, 05/09/20",Spokane Transit,-42%,5
"Fri, 05/08/20",Spokane Transit,-61%,5
"Thu, 05/07/20",Spokane Transit,-63%,5
"Wed, 05/06/20",Spokane Transit,-68%,5
"Tue, 05/05/20",Spokane Transit,-64%,5
"Mon, 05/04/20",Spokane Transit,-59%,5
"Sun, 05/03/20",Spokane Transit,-74%,5
"Sat, 05/02/20",Spokane Transit,-47%,5
"Fri, 05/01/20",Spokane Transit,-60%,5
"Thu, 04/30/20",Spokane Transit,-66%,5
"Wed, 04/29/20",Spokane Transit,-68%,5
"Tue, 04/28/20",Spokane Transit,-67%,5
"Mon, 04/27/20",Spokane Transit,-66%,5
"Sun, 04/26/20",Spokane Transit,-44%,5
"Sat, 04/25/20",Spokane Transit,-49%,5
"Fri, 04/24/20",Spokane Transit,-65%,5
"Thu, 04/23/20",Spokane Transit,-69%,5
"Wed, 04/22/20",Spokane Transit,-69%,5
"Tue, 04/21/20",Spokane Transit,-68%,5
"Mon, 04/20/20",Spokane Transit,-65%,5
"Sun, 04/19/20",Spokane Transit,-37%,5
"Sat, 04/18/20",Spokane Transit,-47%,5
"Fri, 04/17/20",Spokane Transit,-64%,5
"Thu, 04/16/20",Spokane Transit,-68%,5
"Wed, 04/15/20",Spokane Transit,-70%,5
"Tue, 04/14/20",Spokane Transit,-70%,5
"Mon, 04/13/20",Spokane Transit,-68%,5
"Sun, 04/12/20",Spokane Transit,-55%,5
"Sat, 04/11/20",Spokane Transit,-48%,5
"Fri, 04/10/20",Spokane Transit,-66%,5
"Thu, 04/09/20",Spokane Transit,-70%,5
"Wed, 04/08/20",Spokane Transit,-70%,5
"Tue, 04/07/20",Spokane Transit,-69%,5
"Mon, 04/06/20",Spokane Transit,-69%,5
"Sun, 04/05/20",Spokane Transit,-52%,5
"Sat, 04/04/20",Spokane Transit,-48%,5
"Fri, 04/03/20",Spokane Transit,-55%,5
"Thu, 04/02/20",Spokane Transit,-69%,5
"Wed, 04/01/20",Spokane Transit,-68%,5
"Tue, 03/31/20",Spokane Transit,-73%,5
"Mon, 03/30/20",Spokane Transit,-70%,5
"Sun, 03/29/20",Spokane Transit,-61%,5
"Sat, 03/28/20",Spokane Transit,-52%,5
"Fri, 03/27/20",Spokane Transit,-64%,5
"Thu, 03/26/20",Spokane Transit,-68%,5
"Wed, 03/25/20",Spokane Transit,-67%,5
"Tue, 03/24/20",Spokane Transit,-62%,5
"Mon, 03/23/20",Spokane Transit,-56%,5
"Sun, 03/22/20",Spokane Transit,-43%,5
"Sat, 03/21/20",Spokane Transit,-48%,5
"Fri, 03/20/20",Spokane Transit,-50%,5
"Thu, 03/19/20",Spokane Transit,-53%,5
"Wed, 03/18/20",Spokane Transit,-53%,5
"Tue, 03/17/20",Spokane Transit,-48%,5
"Mon, 03/16/20",Spokane Transit,-29%,5
"Sun, 03/15/20",Spokane Transit,-27%,5
"Sat, 03/14/20",Spokane Transit,-31%,5
"Fri, 03/13/20",Spokane Transit,-18%,5
"Thu, 03/12/20",Spokane Transit,-11%,5
"Wed, 03/11/20",Spokane Transit,-7%,5
"Tue, 03/10/20",Spokane Transit,-1%,5
"Mon, 03/09/20",Spokane Transit,-6%,5
"Sun, 03/08/20",Spokane Transit,2%,5
"Sat, 03/07/20",Spokane Transit,-5%,5
"Fri, 03/06/20",Spokane Transit,-7%,5
"Thu, 03/05/20",Spokane Transit,-3%,5
"Wed, 03/04/20",Spokane Transit,-2%,5
"Tue, 03/03/20",Spokane Transit,2%,5
"Mon, 03/02/20",Spokane Transit,-2%,5
"Sun, 03/01/20",Spokane Transit,11%,5
"Wed, 06/03/20",Pierce Transit,,4
"Tue, 06/02/20",Pierce Transit,,4
"Mon, 06/01/20",Pierce Transit,-60%,4
"Sun, 05/31/20",Pierce Transit,-39%,4
"Sat, 05/30/20",Pierce Transit,-63%,4
"Fri, 05/29/20",Pierce Transit,-63%,4
"Thu, 05/28/20",Pierce Transit,-63%,4
"Wed, 05/27/20",Pierce Transit,-62%,4
"Tue, 05/26/20",Pierce Transit,-62%,4
"Mon, 05/25/20",Pierce Transit,-39%,4
"Sun, 05/24/20",Pierce Transit,-38%,4
"Sat, 05/23/20",Pierce Transit,-47%,4
"Fri, 05/22/20",Pierce Transit,-62%,4
"Thu, 05/21/20",Pierce Transit,-68%,4
"Wed, 05/20/20",Pierce Transit,-69%,4
"Tue, 05/19/20",Pierce Transit,-68%,4
"Mon, 05/18/20",Pierce Transit,-65%,4
"Sun, 05/17/20",Pierce Transit,-40%,4
"Sat, 05/16/20",Pierce Transit,-60%,4
"Fri, 05/15/20",Pierce Transit,-65%,4
"Thu, 05/14/20",Pierce Transit,-65%,4
"Wed, 05/13/20",Pierce Transit,-68%,4
"Tue, 05/12/20",Pierce Transit,-67%,4
"Mon, 05/11/20",Pierce Transit,-69%,4
"Sun, 05/10/20",Pierce Transit,-43%,4
"Sat, 05/09/20",Pierce Transit,-53%,4
"Fri, 05/08/20",Pierce Transit,-67%,4
"Thu, 05/07/20",Pierce Transit,-67%,4
"Wed, 05/06/20",Pierce Transit,-69%,4
"Tue, 05/05/20",Pierce Transit,-69%,4
"Mon, 05/04/20",Pierce Transit,-66%,4
"Sun, 05/03/20",Pierce Transit,-50%,4
"Sat, 05/02/20",Pierce Transit,-61%,4
"Fri, 05/01/20",Pierce Transit,-67%,4
"Thu, 04/30/20",Pierce Transit,-70%,4
"Wed, 04/29/20",Pierce Transit,-70%,4
"Tue, 04/28/20",Pierce Transit,-70%,4
"Mon, 04/27/20",Pierce Transit,-68%,4
"Sun, 04/26/20",Pierce Transit,-49%,4
"Sat, 04/25/20",Pierce Transit,-56%,4
"Fri, 04/24/20",Pierce Transit,-68%,4
"Thu, 04/23/20",Pierce Transit,-70%,4
"Wed, 04/22/20",Pierce Transit,-72%,4
"Tue, 04/21/20",Pierce Transit,-70%,4
"Mon, 04/20/20",Pierce Transit,-65%,4
"Sun, 04/19/20",Pierce Transit,-40%,4
"Sat, 04/18/20",Pierce Transit,-59%,4
"Fri, 04/17/20",Pierce Transit,-67%,4
"Thu, 04/16/20",Pierce Transit,-69%,4
"Wed, 04/15/20",Pierce Transit,-69%,4
"Tue, 04/14/20",Pierce Transit,-69%,4
"Mon, 04/13/20",Pierce Transit,-69%,4
"Sun, 04/12/20",Pierce Transit,-43%,4
"Sat, 04/11/20",Pierce Transit,-54%,4
"Fri, 04/10/20",Pierce Transit,-72%,4
"Thu, 04/09/20",Pierce Transit,-68%,4
"Wed, 04/08/20",Pierce Transit,-68%,4
"Tue, 04/07/20",Pierce Transit,-69%,4
"Mon, 04/06/20",Pierce Transit,-67%,4
"Sun, 04/05/20",Pierce Transit,-82%,4
"Sat, 04/04/20",Pierce Transit,-47%,4
"Fri, 04/03/20",Pierce Transit,-53%,4
"Thu, 04/02/20",Pierce Transit,-61%,4
"Wed, 04/01/20",Pierce Transit,-57%,4
"Tue, 03/31/20",Pierce Transit,-61%,4
"Mon, 03/30/20",Pierce Transit,-66%,4
"Sun, 03/29/20",Pierce Transit,-55%,4
"Sat, 03/28/20",Pierce Transit,-48%,4
"Fri, 03/27/20",Pierce Transit,-52%,4
"Thu, 03/26/20",Pierce Transit,-56%,4
"Wed, 03/25/20",Pierce Transit,-53%,4
"Tue, 03/24/20",Pierce Transit,-55%,4
"Mon, 03/23/20",Pierce Transit,-50%,4
"Sun, 03/22/20",Pierce Transit,-39%,4
"Sat, 03/21/20",Pierce Transit,-37%,4
"Fri, 03/20/20",Pierce Transit,-42%,4
"Thu, 03/19/20",Pierce Transit,-47%,4
"Wed, 03/18/20",Pierce Transit,-45%,4
"Tue, 03/17/20",Pierce Transit,-44%,4
"Mon, 03/16/20",Pierce Transit,-36%,4
"Sun, 03/15/20",Pierce Transit,-18%,4
"Sat, 03/14/20",Pierce Transit,-22%,4
"Fri, 03/13/20",Pierce Transit,-28%,4
"Thu, 03/12/20",Pierce Transit,-13%,4
"Wed, 03/11/20",Pierce Transit,-16%,4
"Tue, 03/10/20",Pierce Transit,-10%,4
"Mon, 03/09/20",Pierce Transit,-9%,4
"Sun, 03/08/20",Pierce Transit,-14%,4
"Sat, 03/07/20",Pierce Transit,-20%,4
"Fri, 03/06/20",Pierce Transit,-4%,4
"Thu, 03/05/20",Pierce Transit,-3%,4
"Wed, 03/04/20",Pierce Transit,6%,4
"Tue, 03/03/20",Pierce Transit,-7%,4
"Mon, 03/02/20",Pierce Transit,-11%,4
"Sun, 03/01/20",Pierce Transit,-2%,4
"Wed, 06/03/20",Community Transit,-67%,3
"Tue, 06/02/20",Community Transit,-70%,3
"Mon, 06/01/20",Community Transit,-68%,3
"Sun, 05/31/20",Community Transit,-25%,3
"Sat, 05/30/20",Community Transit,-46%,3
"Fri, 05/29/20",Community Transit,-63%,3
"Thu, 05/28/20",Community Transit,-66%,3
"Wed, 05/27/20",Community Transit,-66%,3
"Tue, 05/26/20",Community Transit,-66%,3
"Mon, 05/25/20",Community Transit,-34%,3
"Sun, 05/24/20",Community Transit,-23%,3
"Sat, 05/23/20",Community Transit,-30%,3
"Fri, 05/22/20",Community Transit,-62%,3
"Thu, 05/21/20",Community Transit,-69%,3
"Wed, 05/20/20",Community Transit,-68%,3
"Tue, 05/19/20",Community Transit,-67%,3
"Mon, 05/18/20",Community Transit,-67%,3
"Sun, 05/17/20",Community Transit,-28%,3
"Sat, 05/16/20",Community Transit,-42%,3
"Fri, 05/15/20",Community Transit,-63%,3
"Thu, 05/14/20",Community Transit,-69%,3
"Wed, 05/13/20",Community Transit,-67%,3
"Tue, 05/12/20",Community Transit,-68%,3
"Mon, 05/11/20",Community Transit,-68%,3
"Sun, 05/10/20",Community Transit,-18%,3
"Sat, 05/09/20",Community Transit,-35%,3
"Fri, 05/08/20",Community Transit,-64%,3
"Thu, 05/07/20",Community Transit,-70%,3
"Wed, 05/06/20",Community Transit,-71%,3
"Tue, 05/05/20",Community Transit,-69%,3
"Mon, 05/04/20",Community Transit,-71%,3
"Sun, 05/03/20",Community Transit,-34%,3
"Sat, 05/02/20",Community Transit,-46%,3
"Fri, 05/01/20",Community Transit,-65%,3
"Thu, 04/30/20",Community Transit,-70%,3
"Wed, 04/29/20",Community Transit,-70%,3
"Tue, 04/28/20",Community Transit,-72%,3
"Mon, 04/27/20",Community Transit,-70%,3
"Sun, 04/26/20",Community Transit,-26%,3
"Sat, 04/25/20",Community Transit,-39%,3
"Fri, 04/24/20",Community Transit,-66%,3
"Thu, 04/23/20",Community Transit,-72%,3
"Wed, 04/22/20",Community Transit,-73%,3
"Tue, 04/21/20",Community Transit,-71%,3
"Mon, 04/20/20",Community Transit,-70%,3
"Sun, 04/19/20",Community Transit,-25%,3
"Sat, 04/18/20",Community Transit,-43%,3
"Fri, 04/17/20",Community Transit,-66%,3
"Thu, 04/16/20",Community Transit,-72%,3
"Wed, 04/15/20",Community Transit,-72%,3
"Tue, 04/14/20",Community Transit,-73%,3
"Mon, 04/13/20",Community Transit,-71%,3
"Sun, 04/12/20",Community Transit,-28%,3
"Sat, 04/11/20",Community Transit,-33%,3
"Fri, 04/10/20",Community Transit,-68%,3
"Thu, 04/09/20",Community Transit,-71%,3
"Wed, 04/08/20",Community Transit,-70%,3
"Tue, 04/07/20",Community Transit,-71%,3
"Mon, 04/06/20",Community Transit,-71%,3
"Sun, 04/05/20",Community Transit,-35%,3
"Sat, 04/04/20",Community Transit,-36%,3
"Fri, 04/03/20",Community Transit,-67%,3
"Thu, 04/02/20",Community Transit,-73%,3
"Wed, 04/01/20",Community Transit,-71%,3
"Tue, 03/31/20",Community Transit,-72%,3
"Mon, 03/30/20",Community Transit,-70%,3
"Sun, 03/29/20",Community Transit,-39%,3
"Sat, 03/28/20",Community Transit,-44%,3
"Fri, 03/27/20",Community Transit,-65%,3
"Thu, 03/26/20",Community Transit,-65%,3
"Wed, 03/25/20",Community Transit,-63%,3
"Tue, 03/24/20",Community Transit,-63%,3
"Mon, 03/23/20",Community Transit,-58%,3
"Sun, 03/22/20",Community Transit,-27%,3
"Sat, 03/21/20",Community Transit,-26%,3
"Fri, 03/20/20",Community Transit,-48%,3
"Thu, 03/19/20",Community Transit,-52%,3
"Wed, 03/18/20",Community Transit,-52%,3
"Tue, 03/17/20",Community Transit,-49%,3
"Mon, 03/16/20",Community Transit,-45%,3
"Sun, 03/15/20",Community Transit,-6%,3
"Sat, 03/14/20",Community Transit,-16%,3
"Fri, 03/13/20",Community Transit,-36%,3
"Thu, 03/12/20",Community Transit,-33%,3
"Wed, 03/11/20",Community Transit,-28%,3
"Tue, 03/10/20",Community Transit,-27%,3
"Mon, 03/09/20",Community Transit,-24%,3
"Sun, 03/08/20",Community Transit,7%,3
"Sat, 03/07/20",Community Transit,2%,3
"Fri, 03/06/20",Community Transit,-16%,3
"Thu, 03/05/20",Community Transit,-4%,3
"Wed, 03/04/20",Community Transit,1%,3
"Tue, 03/03/20",Community Transit,-1%,3
"Mon, 03/02/20",Community Transit,-5%,3
"Sun, 03/01/20",Community Transit,12%,3
"Wed, 06/03/20",Sound Transit,,2
"Tue, 06/02/20",Sound Transit,,2
"Mon, 06/01/20",Sound Transit,,2
"Sun, 05/31/20",Sound Transit,,2
"Sat, 05/30/20",Sound Transit,,2
"Fri, 05/29/20",Sound Transit,,2
"Thu, 05/28/20",Sound Transit,,2
"Wed, 05/27/20",Sound Transit,,2
"Tue, 05/26/20",Sound Transit,-86%,2
"Mon, 05/25/20",Sound Transit,-91%,2
"Sun, 05/24/20",Sound Transit,,2
"Sat, 05/23/20",Sound Transit,,2
"Fri, 05/22/20",Sound Transit,-86%,2
"Thu, 05/21/20",Sound Transit,-86%,2
"Wed, 05/20/20",Sound Transit,-86%,2
"Tue, 05/19/20",Sound Transit,-87%,2
"Mon, 05/18/20",Sound Transit,-86%,2
"Sun, 05/17/20",Sound Transit,,2
"Sat, 05/16/20",Sound Transit,,2
"Fri, 05/15/20",Sound Transit,-87%,2
"Thu, 05/14/20",Sound Transit,-86%,2
"Wed, 05/13/20",Sound Transit,-87%,2
"Tue, 05/12/20",Sound Transit,-87%,2
"Mon, 05/11/20",Sound Transit,-87%,2
"Sun, 05/10/20",Sound Transit,,2
"Sat, 05/09/20",Sound Transit,,2
"Fri, 05/08/20",Sound Transit,-87%,2
"Thu, 05/07/20",Sound Transit,-87%,2
"Wed, 05/06/20",Sound Transit,-87%,2
"Tue, 05/05/20",Sound Transit,-87%,2
"Mon, 05/04/20",Sound Transit,-88%,2
"Sun, 05/03/20",Sound Transit,,2
"Sat, 05/02/20",Sound Transit,,2
"Fri, 05/01/20",Sound Transit,-87%,2
"Thu, 04/30/20",Sound Transit,-87%,2
"Wed, 04/29/20",Sound Transit,-86%,2
"Tue, 04/28/20",Sound Transit,-87%,2
"Mon, 04/27/20",Sound Transit,-86%,2
"Sun, 04/26/20",Sound Transit,,2
"Sat, 04/25/20",Sound Transit,,2
"Fri, 04/24/20",Sound Transit,-87%,2
"Thu, 04/23/20",Sound Transit,-86%,2
"Wed, 04/22/20",Sound Transit,-88%,2
"Tue, 04/21/20",Sound Transit,-87%,2
"Mon, 04/20/20",Sound Transit,-88%,2
"Sun, 04/19/20",Sound Transit,,2
"Sat, 04/18/20",Sound Transit,,2
"Fri, 04/17/20",Sound Transit,-87%,2
"Thu, 04/16/20",Sound Transit,-87%,2
"Wed, 04/15/20",Sound Transit,-87%,2
"Tue, 04/14/20",Sound Transit,-87%,2
"Mon, 04/13/20",Sound Transit,-86%,2
"Sun, 04/12/20",Sound Transit,,2
"Sat, 04/11/20",Sound Transit,,2
"Fri, 04/10/20",Sound Transit,-87%,2
"Thu, 04/09/20",Sound Transit,-87%,2
